time,num
2015-07-08 06,9822
2015-07-08 07,16418
2015-07-08 08,21150
2015-07-08 09,20828
2015-07-08 10,18053
2015-07-08 11,18121
2015-07-08 12,18369
2015-07-08 13,18622
2015-07-08 14,18726
2015-07-08 15,18524
2015-07-08 16,15452
2015-07-08 17,18062
2015-07-08 18,22843
2015-07-08 19,24643
2015-07-08 20,21795
2015-07-08 21,23668
2015-07-08 22,23040
2015-07-08 23,18640
2015-07-09 00,12849
2015-07-09 01,8173
2015-07-09 02,4718
2015-07-09 03,3108
2015-07-09 04,2638
2015-07-09 05,3836
2015-07-09 06,9639
2015-07-09 07,17611
2015-07-09 08,22597
2015-07-09 09,20490
2015-07-09 10,17390
2015-07-09 11,17028
2015-07-09 12,17890
2015-07-09 13,17632
2015-07-09 14,18130
2015-07-09 15,16860
2015-07-09 16,14446
2015-07-09 17,17872
2015-07-09 18,23176
2015-07-09 19,25359
2015-07-09 20,25064
2015-07-09 21,28010
2015-07-09 22,23046
2015-07-09 23,20936
2015-07-10 00,16914
2015-07-10 01,11419
2015-07-10 02,7114
2015-07-10 03,4618
2015-07-10 04,3683
2015-07-10 05,4110
2015-07-10 06,9432
2015-07-10 07,15167
2015-07-10 08,19108
2015-07-10 09,18060
2015-07-10 10,15914
2015-07-10 11,15654
2015-07-10 12,17202
2015-07-10 13,16726
2015-07-10 14,17606
2015-07-10 15,16790
2015-07-10 16,14706
2015-07-10 17,18307
2015-07-10 18,22984
2015-07-10 19,24153
2015-07-10 20,21819
2015-07-10 21,22689
2015-07-10 22,24047
2015-07-10 23,24711
2015-07-11 00,23272
2015-07-11 01,20788
2015-07-11 02,16549
2015-07-11 03,12237
2015-07-11 04,7735
2015-07-11 05,3768
2015-07-11 06,4284
2015-07-11 07,6266
2015-07-11 08,8978
2015-07-11 09,12946
2015-07-11 10,15415
2015-07-11 11,17337
2015-07-11 12,18451
2015-07-11 13,18578
2015-07-11 14,17959
2015-07-11 15,18505
2015-07-11 16,17714
2015-07-11 17,19620
2015-07-11 18,21884
2015-07-11 19,22688
2015-07-11 20,19614
2015-07-11 21,20576
2015-07-11 22,22294
2015-07-11 23,23256
2015-07-12 00,22843
2015-07-12 01,20987
2015-07-12 02,16583
2015-07-12 03,12915
2015-07-12 04,8383
2015-07-12 05,3689
2015-07-12 06,3402
2015-07-12 07,4692
2015-07-12 08,6662
2015-07-12 09,10299
2015-07-12 10,13851
2015-07-12 11,16514
2015-07-12 12,17366
2015-07-12 13,18686
2015-07-12 14,18337
2015-07-12 15,17675
2015-07-12 16,17046
2015-07-12 17,18245
2015-07-12 18,19245
2015-07-12 19,17950
2015-07-12 20,15428
2015-07-12 21,17481
2015-07-12 22,15713
2015-07-12 23,12088
2015-07-13 00,8046
2015-07-13 01,4467
2015-07-13 02,2836
2015-07-13 03,2059
2015-07-13 04,2239
2015-07-13 05,3627
2015-07-13 06,9669
2015-07-13 07,15517
2015-07-13 08,18826
2015-07-13 09,17992
2015-07-13 10,15787
2015-07-13 11,15635
2015-07-13 12,16433
2015-07-13 13,16418
2015-07-13 14,17117
2015-07-13 15,16981
2015-07-13 16,15675
2015-07-13 17,17989
2015-07-13 18,21656
2015-07-13 19,21693
2015-07-13 20,19013
2015-07-13 21,20421
2015-07-13 22,18384
2015-07-13 23,13925
2015-07-14 00,9200
2015-07-14 01,5284
2015-07-14 02,3455
2015-07-14 03,2265
2015-07-14 04,2176
2015-07-14 05,3743
2015-07-14 06,10174
2015-07-14 07,16275
2015-07-14 08,19756
2015-07-14 09,19786
2015-07-14 10,19050
2015-07-14 11,17630
2015-07-14 12,20375
2015-07-14 13,19893
2015-07-14 14,17903
2015-07-14 15,16072
2015-07-14 16,14196
2015-07-14 17,18734
2015-07-14 18,23331
2015-07-14 19,23741
2015-07-14 20,21898
2015-07-14 21,24054
2015-07-14 22,22515
2015-07-14 23,17836
2015-07-15 00,12282
2015-07-15 01,7385
2015-07-15 02,4459
2015-07-15 03,2876
2015-07-15 04,2531
2015-07-15 05,3863
2015-07-15 06,10509
2015-07-15 07,17495
2015-07-15 08,21549
2015-07-15 09,20653
2015-07-15 10,19703
2015-07-15 11,19137
2015-07-15 12,19270
2015-07-15 13,17114
2015-07-15 14,17553
2015-07-15 15,16751
2015-07-15 16,14979
2015-07-15 17,18532
2015-07-15 18,24024
2015-07-15 19,25803
2015-07-15 20,22654
2015-07-15 21,24753
2015-07-15 22,23686
2015-07-15 23,20116
2015-07-16 00,13810
2015-07-16 01,8221
2015-07-16 02,5136
2015-07-16 03,3372
2015-07-16 04,2859
2015-07-16 05,3824
2015-07-16 06,10641
2015-07-16 07,17534
2015-07-16 08,20595
2015-07-16 09,19686
2015-07-16 10,17811
2015-07-16 11,17441
2015-07-16 12,18507
2015-07-16 13,18145
2015-07-16 14,18507
2015-07-16 15,17221
2015-07-16 16,13852
2015-07-16 17,17013
2015-07-16 18,21271
2015-07-16 19,23583
2015-07-16 20,22176
2015-07-16 21,24756
2015-07-16 22,24358
2015-07-16 23,21468
2015-07-17 00,18283
2015-07-17 01,12665
2015-07-17 02,8218
2015-07-17 03,5339
2015-07-17 04,4036
2015-07-17 05,4151
2015-07-17 06,9145
2015-07-17 07,13613
2015-07-17 08,15661
2015-07-17 09,16130
2015-07-17 10,15358
2015-07-17 11,15566
2015-07-17 12,16353
2015-07-17 13,16128
2015-07-17 14,14847
2015-07-17 15,13590
2015-07-17 16,12586
2015-07-17 17,15061
2015-07-17 18,17965
2015-07-17 19,20396
2015-07-17 20,19620
2015-07-17 21,20533
2015-07-17 22,21130
2015-07-17 23,20334
2015-07-18 00,19460
2015-07-18 01,18256
2015-07-18 02,15491
2015-07-18 03,11952
2015-07-18 04,7436
2015-07-18 05,3899
2015-07-18 06,4539
2015-07-18 07,6578
2015-07-18 08,10299
2015-07-18 09,13447
2015-07-18 10,14832
2015-07-18 11,16737
2015-07-18 12,17997
2015-07-18 13,18339
2015-07-18 14,18129
2015-07-18 15,18572
2015-07-18 16,17207
2015-07-18 17,19119
2015-07-18 18,22572
2015-07-18 19,23706
2015-07-18 20,20697
2015-07-18 21,21010
2015-07-18 22,22716
2015-07-18 23,23741
2015-07-19 00,22499
2015-07-19 01,20288
2015-07-19 02,17224
2015-07-19 03,13222
2015-07-19 04,8674
2015-07-19 05,3951
2015-07-19 06,4047
2015-07-19 07,5245
2015-07-19 08,7878
2015-07-19 09,11539
2015-07-19 10,15611
2015-07-19 11,18566
